"abstract","web_url","snippet","lead_paragraph","print_section","print_page","source","pub_date","document_type","news_desk","section_name","subsection_name","type_of_material","_id","word_count","uri","headline.main","headline.kicker","headline.content_kicker","headline.print_headline","headline.name","headline.seo","headline.sub","byline.original","byline.organization"
"In the early hours of Wednesday morning, Donald J. Trump was elected president for a second time. Shortly before that call was made, the Times journalists Michael Barbaro, Nate Cohn, Lisa Lerer and Astead W. Herndon sat down to discuss the state of the election.","https://www.nytimes.com/video/podcasts/the-daily/100000009811010/trump-election-results.html","In the early hours of Wednesday morning, Donald J. Trump was elected president for a second time. Shortly before that call was made, the Times journalists Michael Barbaro, Nate Cohn, Lisa Lerer and Astead W. Herndon sat down to discuss the state o...","In the early hours of Wednesday morning, Donald J. Trump was elected president for a second time. Shortly before that call was made, the Times journalists Michael Barbaro, Nate Cohn, Lisa Lerer and Astead W. Herndon sat down to discuss the state of the election.",NA,NA,"The New York Times","2024-11-06T15:03:52+0000","multimedia","","Podcasts","The Daily","Video","nyt://video/88ba2ecb-1492-50e3-b802-1972daf0addd",0,"nyt://video/88ba2ecb-1492-50e3-b802-1972daf0addd","Trump, Again",NA,NA,"",NA,NA,NA,"",NA
"Investors believe that the electric car company led by Elon Musk will benefit from his support of the president-elect.","https://www.nytimes.com/2024/11/06/business/tesla-stock-elon-musk-trump.html","Investors believe that the electric car company led by Elon Musk will benefit from his support of the president-elect.","Elon Musk defied conventional corporate wisdom by committing wholeheartedly to Donald J. Trump’s presidential campaign, donating tens of millions of dollars and running a get-out-the-vote drive.","B","5","The New York Times","2024-11-06T15:06:59+0000","article","Business","Business Day",NA,"News","nyt://article/660b1eaa-5691-508d-95fc-eda07bae70f5",610,"nyt://article/660b1eaa-5691-508d-95fc-eda07bae70f5","Tesla’s Stock Jumps After Trump’s Victory",NA,NA,"Tesla May Reap Benefits of Bet On Trump’s Run",NA,NA,NA,"By Jack Ewing",NA
"Donald Trump staunchly supported Israel during his first term as president, even when that meant reversing decades of American policy.","https://www.nytimes.com/2024/11/06/world/middleeast/trump-israel-support.html","Donald Trump staunchly supported Israel during his first term as president, even when that meant reversing decades of American policy.","Donald Trump has won the 2024 presidential election. Follow live updates and results.",NA,NA,"The New York Times","2024-11-06T15:19:58+0000","article","Foreign","World","Middle East","News","nyt://article/1104a490-62b7-507a-9fab-1783f67a7d95",681,"nyt://article/1104a490-62b7-507a-9fab-1783f67a7d95","Trump Has History of Strong Support for Israel",NA,NA,"",NA,NA,NA,"By Liam Stack",NA
"Tariffs, border crossings, mass deportations of migrants and military strikes on cartels: Mexico is in the firing line of the president-elect.","https://www.nytimes.com/2024/11/06/world/americas/trump-victory-mexico-immigration.html","Tariffs, border crossings, mass deportations of migrants and military strikes on cartels: Mexico is in the firing line of the president-elect.","Donald Trump has won the 2024 presidential election. Follow live updates and results.","A","6","The New York Times","2024-11-06T15:46:08+0000","article","Foreign","World","Americas","News","nyt://article/ea729a41-b098-56a5-9632-ecaa8e2498a0",1435,"nyt://article/ea729a41-b098-56a5-9632-ecaa8e2498a0","What’s at Stake for Mexico in a Second Trump Presidency?","News Analysis",NA,"In a Second Trump Term, Mexico Has a Lot at Stake",NA,NA,NA,"By Simon Romero and Emiliano Rodríguez Mega",NA
"Prediction markets, which surged to prominence during the presidential campaign, started reflecting a likely Trump win several weeks ago, even as opinion polls showed a tight race.","https://www.nytimes.com/2024/11/06/business/dealbook/prediction-markets-trump-win.html","Prediction markets, which surged to prominence during the presidential campaign, started reflecting a likely Trump win several weeks ago, even as opinion polls showed a tight race.","Supporters of prediction markets such as Polymarket, Kalshi and PredictIt, where bettors could wager on the outcome of the election, said that the odds reflected reality faster and better than opinion polls. With President-elect Donald J. Trump’s resounding win, those claims seem to have been borne out.",NA,NA,"The New York Times","2024-11-06T15:52:25+0000","article","Business","Business Day","DealBook","News","nyt://article/31d378f2-2e2d-5cdf-a127-682595317479",341,"nyt://article/31d378f2-2e2d-5cdf-a127-682595317479","Political Betting Markets See Vindication in Trump Victory",NA,NA,"",NA,NA,NA,"By Michael J. de la Merced",NA
"Melania, Ivanka, Barron and an extended cast of supporters offer a picture of what is to come.","https://www.nytimes.com/2024/11/06/style/trump-ivanka-melania-election-speech.html","Melania, Ivanka, Barron and an extended cast of supporters offer a picture of what is to come.","Donald Trump has won the 2024 presidential election. Follow live updates and results.",NA,NA,"The New York Times","2024-11-06T16:06:39+0000","article","Styles","Style",NA,"News Analysis","nyt://article/b90b100f-2e04-5762-a5ec-482211091812",679,"nyt://article/b90b100f-2e04-5762-a5ec-482211091812","A New Portrait of Trump Family Values","critic’s notebook",NA,"",NA,NA,NA,"By Vanessa Friedman",NA
"Another Trump presidency will be good for crypto and Elon Musk, but every big tech company may not benefit from a more hands-off approach to antitrust.","https://www.nytimes.com/2024/11/06/technology/trump-musk-ai-crypto.html","Another Trump presidency will be good for crypto and Elon Musk, but every big tech company may not benefit from a more hands-off approach to antitrust.","Donald Trump has won the 2024 presidential election. Follow live updates here.","B","1","The New York Times","2024-11-06T17:08:05+0000","article","Business","Technology",NA,"News","nyt://article/15ab6d3e-0eb7-5dbe-9484-7113df04b596",1892,"nyt://article/15ab6d3e-0eb7-5dbe-9484-7113df04b596","What a Trump Victory Means for Tech","The Shift",NA,"What a Trump Victory Means for the Tech Giants",NA,NA,NA,"By Kevin Roose",NA
"News fatigue and changing consumption habits could sap some of that enthusiasm over time, several news media experts said.","https://www.nytimes.com/2024/11/06/business/media/trump-newspapers-cable-news-audience.html","News fatigue and changing consumption habits could sap some of that enthusiasm over time, several news media experts said.","When Donald J. Trump pulled off a surprise victory against Hillary Clinton in 2016, the news media was a major beneficiary, as viewers stayed glued to cable news and readers signed up for newspaper subscriptions in droves.","B","5","The New York Times","2024-11-06T17:08:39+0000","article","Business","Business Day","Media","News","nyt://article/135720df-013e-54da-947f-932936da36eb",735,"nyt://article/135720df-013e-54da-947f-932936da36eb","Trump Bump 2.0? Experts Expect Another Audience Surge, With Caveats.",NA,NA,"A News Media Audience Surge Is Expected. Then What?",NA,NA,NA,"By Benjamin Mullin",NA
"Mr. Bezos, who also owns The Washington Post, recently quashed the newspaper’s endorsement of Vice President Kamala Harris.","https://www.nytimes.com/2024/11/06/business/media/jeff-bezos-trump.html","Mr. Bezos, who also owns The Washington Post, recently quashed the newspaper’s endorsement of Vice President Kamala Harris.","Jeff Bezos, the founder of Amazon and the owner of The Washington Post, on Wednesday congratulated President-elect Donald J. Trump on his victory, a sign of a potential thawing between Mr. Trump and the billionaire tech mogul.",NA,NA,"The New York Times","2024-11-06T17:21:38+0000","article","Business","Business Day","Media","News","nyt://article/dbbb1cbe-2f60-5042-a0e7-65af7cce3335",339,"nyt://article/dbbb1cbe-2f60-5042-a0e7-65af7cce3335","Jeff Bezos Congratulates Trump on Victory",NA,NA,"",NA,NA,NA,"By Benjamin Mullin",NA
"Donald J. Trump, the first felon elected president, has a sentencing scheduled for Nov. 26. He has many ways to avoid punishment.","https://www.nytimes.com/2024/11/06/nyregion/trump-criminal-case-new-york.html","Donald J. Trump, the first felon elected president, has a sentencing scheduled for Nov. 26. He has many ways to avoid punishment.","The People of the State of New York v. Donald J. Trump was the one criminal case against the former president that actually went to trial. Now that Mr. Trump has reclaimed the presidency, it, too, is in jeopardy.",NA,NA,"The New York Times","2024-11-06T17:24:00+0000","article","Metro","New York",NA,"News","nyt://article/00750152-ab23-5caa-8136-cb74077b2310",1092,"nyt://article/00750152-ab23-5caa-8136-cb74077b2310","What to Know About Trump’s New York Criminal Case After the Election",NA,NA,"",NA,NA,NA,"By Ben Protess and Kate Christobek",NA
"Vice President Kamala Harris is slated to speak at 4 p.m. Eastern time from Howard University, according to a campaign official briefed on her plans.","https://www.nytimes.com/2024/11/06/us/politics/harris-concession-speech-address-time.html","Vice President Kamala Harris is slated to speak at 4 p.m. Eastern time from Howard University, according to a campaign official briefed on her plans.","Vice President Kamala Harris will address the nation on Wednesday afternoon in what is expected to be her concession speech, officially bringing to a close a furious race to stop former President Donald J. Trump from returning to the White House.",NA,NA,"The New York Times","2024-11-06T17:25:05+0000","article","Politics","U.S.","Politics","News","nyt://article/dc859cc3-84d0-5da5-9055-15b4491efc47",254,"nyt://article/dc859cc3-84d0-5da5-9055-15b4491efc47","Kamala Harris to Concede Election to Donald Trump",NA,NA,"",NA,NA,NA,"By Remy Tumin and Katie Rogers",NA
"Although some people were not sure which policies Donald J. Trump would focus on first, they were relieved and elated by the win.","https://www.nytimes.com/2024/11/06/us/trump-voters-reactions.html","Although some people were not sure which policies Donald J. Trump would focus on first, they were relieved and elated by the win.","Mike Cordeiro, a libertarian-leaning owner of a small Florida cannabis company, woke up on Wednesday morning feeling great. He has long thought the American status quo needed a good shaking. And with the victory of Donald J. Trump, he was optimistic that big change was in the offing.","A","18","The New York Times","2024-11-06T17:33:46+0000","article","National","U.S.",NA,"News","nyt://article/48801ec1-09ae-5195-ac89-38ddd09399f9",1268,"nyt://article/48801ec1-09ae-5195-ac89-38ddd09399f9","‘It Was Just Jubilation’: Trump Supporters Revel in His Victory",NA,NA,"‘It Was Just Jubilation’ For Trump’s Supporters",NA,NA,NA,"By Richard Fausset, Emily Cochrane and Eduardo Medina",NA
"For the past four years, President Biden has argued that the first Trump term was a blip in American history. The election has proved that President-elect Donald J. Trump was no aberration.","https://www.nytimes.com/2024/11/06/us/politics/trump-us-global-leadership.html","For the past four years, President Biden has argued that the first Trump term was a blip in American history. The election has proved that President-elect Donald J. Trump was no aberration.","It was only four months ago that President Biden invited America’s NATO allies to Washington to celebrate the 75th anniversary of their alliance, the symbol of an era of American global leadership that once was celebrated as a cornerstone of democracy and the best way to keep the peace among great powers.","A","5","The New York Times","2024-11-06T17:36:15+0000","article","Washington","U.S.","Politics","News","nyt://article/ffd11c4e-c450-5ff4-9e42-528b03fafb11",1458,"nyt://article/ffd11c4e-c450-5ff4-9e42-528b03fafb11","Trump’s Win Ends a Post-World War II Era of U.S. Leadership","News Analysis",NA,"Razing the World Order  Is Trump’s Fondest Wish  ",NA,NA,NA,"By David E. Sanger",NA
"Readers express fears for the future and speculate about why he won.","https://www.nytimes.com/2024/11/06/opinion/letters/donald-trump-election-victory.html","Readers express fears for the future and speculate about why he won.","To the Editor:","A","23","The New York Times","2024-11-06T17:39:51+0000","article","Letters","Opinion","Letters","Letter","nyt://article/c7df8818-aec0-5818-892a-eecb6118bc9d",1437,"nyt://article/c7df8818-aec0-5818-892a-eecb6118bc9d","What Trump’s Victory Says About America","letters",NA,"What Trump’s Victory Says About America",NA,NA,NA,"",NA
"Donald J. Trump’s return to the White House could significantly affect a range of issues in his hometown, including immigration policy and congestion pricing.","https://www.nytimes.com/2024/11/06/nyregion/trump-new-york-future.html","Donald J. Trump’s return to the White House could significantly affect a range of issues in his hometown, including immigration policy and congestion pricing.","Donald J. Trump’s return to the White House may have a significant effect on large Democratic cities, but perhaps none more profound than his hometown, New York City.","A","19","The New York Times","2024-11-06T17:40:51+0000","article","Metro","New York",NA,"News","nyt://article/bf9e2ee5-e864-57f4-9c7b-f717cfa38494",1489,"nyt://article/bf9e2ee5-e864-57f4-9c7b-f717cfa38494","What Trump’s Victory Could Mean for New York City",NA,NA,"In New York City, Changes May Come for Migrants, Tolls and Taxes",NA,NA,NA,"By Emma G. Fitzsimmons and Luis Ferré-Sadurní",NA
"Many Americans fretted about inflation as they headed out to vote. But Donald J. Trump’s approach comes with risks of a renewed boost.","https://www.nytimes.com/2024/11/06/us/politics/trump-inflation-economy.html","Many Americans fretted about inflation as they headed out to vote. But Donald J. Trump’s approach comes with risks of a renewed boost.","Americans have been chafing against higher prices for years now, propelling unhappy voters to the polls and helping to deliver the White House to the Republican candidate, Donald J. Trump.","B","1","The New York Times","2024-11-06T17:44:05+0000","article","Washington","U.S.","Politics","News","nyt://article/505ed76f-7b61-5eaf-9c55-2e0f3be8b953",1148,"nyt://article/505ed76f-7b61-5eaf-9c55-2e0f3be8b953","Inflation Infused the Vote. But Could Trump Reignite It?",NA,NA,"Coming Soon: A Trump  Economy",NA,NA,NA,"By Jeanna Smialek",NA
"The former president flipped back a state he won in 2016 only to lose in 2020.","https://www.nytimes.com/2024/11/06/us/politics/michigan-race-call.html","The former president flipped back a state he won in 2016 only to lose in 2020.","Former President Donald J. Trump has won Michigan, according to The Associated Press, defeating Vice President Kamala Harris in a closely divided Midwestern state.",NA,NA,"The New York Times","2024-11-06T18:01:05+0000","article","Politics","U.S.","Politics","News","nyt://article/52250e4c-b93c-5dd9-8535-5fecb08308df",606,"nyt://article/52250e4c-b93c-5dd9-8535-5fecb08308df","Trump Captures Michigan, Toppling Harris in a Critical Battleground",NA,NA,"",NA,NA,NA,"By Katie Glueck",NA
"President-elect Donald J. Trump promised to delete climate policy. He could face pushback from Republicans benefiting from a boom in clean energy.","https://www.nytimes.com/2024/11/06/climate/trump-climate-change.html","President-elect Donald J. Trump promised to delete climate policy. He could face pushback from Republicans benefiting from a boom in clean energy.","The fight against climate change has taken a body blow with the election of Donald J. Trump, who calls global warming a “scam” and has promised to erase federal efforts to reduce the pollution that is heating the planet.","A","19","The New York Times","2024-11-06T18:03:50+0000","article","Climate","Climate",NA,"News","nyt://article/3c6799c0-69e6-57f6-92d0-e32cced3c50c",1377,"nyt://article/3c6799c0-69e6-57f6-92d0-e32cced3c50c","What Trump’s Victory Means for Climate Change",NA,NA,"Trump’s Eagerness to ‘Kill’ Climate Law Faces Hurdles",NA,NA,NA,"By Coral Davenport and Lisa Friedman",NA
"Why America went with Trump, again.","https://www.nytimes.com/2024/11/06/opinion/trump-wins-election.html","Why America went with Trump, again.","In this special post-election episode of “Matter of Opinion,” the hosts take stock of Donald Trump’s triumphant night and what a return of his right-wing populism says about America.",NA,NA,"The New York Times","2024-11-06T18:05:03+0000","article","OpEd","Opinion",NA,"Op-Ed","nyt://article/e3f90da3-8177-5f36-9fbd-951c2eadbc9d",192,"nyt://article/e3f90da3-8177-5f36-9fbd-951c2eadbc9d","Trumpism Is Not a Fad",NA,NA,"",NA,NA,NA,"By Michelle Cottle, Ross Douthat and Carlos Lozada",NA
"After Trump’s big win, we would like to know how you’re feeling.","https://www.nytimes.com/2024/11/06/briefing/how-are-you-approaching-a-second-trump-presidency.html","After Trump’s big win, we would like to know how you’re feeling.","In an astonishing political comeback, Donald Trump rode a wave of anxiousness over inflation and illegal immigration to win a second presidency.",NA,NA,"The New York Times","2024-11-06T18:21:23+0000","article","NYTNow","Briefing",NA,"News","nyt://article/b0313290-4e0d-51c9-a172-a2a3c232624a",130,"nyt://article/b0313290-4e0d-51c9-a172-a2a3c232624a","How Are You Approaching a Second Trump Presidency?",NA,NA,"",NA,NA,NA,"By The New York Times","The New York Times"
"While Donald Trump has distanced himself from supporting a federal abortion ban, Republicans and opponents of abortion rights will pressure him to enact one.","https://www.nytimes.com/2024/11/06/us/politics/trump-federal-abortion-ban.html","While Donald Trump has distanced himself from supporting a federal abortion ban, Republicans and opponents of abortion rights will pressure him to enact one.","As support for abortion rights has grown in the two years since the Supreme Court overturned Roe v. Wade, President-elect Donald J. Trump has distanced himself from a proposed federal ban on abortion, saying that he supports leaving regulation of the issue to the states.",NA,NA,"The New York Times","2024-11-06T18:54:22+0000","article","National","U.S.","Politics","News","nyt://article/4c66b8e7-350f-50c3-9af6-60d4a20a17e2",256,"nyt://article/4c66b8e7-350f-50c3-9af6-60d4a20a17e2","How the Trump Administration Could Enact a Federal Abortion Ban",NA,NA,"",NA,NA,NA,"By Kate Zernike",NA
"After his election victory, he will enter a two-month transition period as president-elect before being inaugurated on Jan. 20.","https://www.nytimes.com/2024/11/06/us/politics/trump-white-house-timeline.html","After his election victory, he will enter a two-month transition period as president-elect before being inaugurated on Jan. 20.","Former President Donald J. Trump won Tuesday’s election, but he will not immediately return to the White House.",NA,NA,"The New York Times","2024-11-06T18:55:01+0000","article","Politics","U.S.","Politics","News","nyt://article/52bf7dfe-5252-5fc0-b630-61b20d1a41d5",262,"nyt://article/52bf7dfe-5252-5fc0-b630-61b20d1a41d5","When Will Donald Trump Take Office?",NA,NA,"",NA,NA,NA,"By Tim Balk",NA
"Election night on 2024 played like an enervated replay of 2016. Was it a harbinger of how the culture will respond to a second Trump term?","https://www.nytimes.com/2024/11/06/arts/television/donald-trump-election-tv-news.html","Election night on 2024 played like an enervated replay of 2016. Was it a harbinger of how the culture will respond to a second Trump term?","If you stayed up into the early morning hours to watch the Blue Wall gradually bleed red and Donald J. Trump give a rambling victory speech surrounded by an entourage, you might have thought that you had seen this show before.","A","18","The New York Times","2024-11-06T19:04:46+0000","article","Culture","Arts","Television","News","nyt://article/89753e3f-6464-5203-b50b-de233a61d6e6",915,"nyt://article/89753e3f-6464-5203-b50b-de233a61d6e6","Trump’s Win Unfolded on TV as a Muted Reboot","Critic’s Notebook",NA,"Trump’s Win Unfolded On Network Television As a Muted Reboot",NA,NA,NA,"By James Poniewozik",NA
"The rightward shift in the presidential election results was especially pronounced among Asian voters and Hispanic voters in Queens and the Bronx.","https://www.nytimes.com/2024/11/06/nyregion/trump-nyc-voters.html","The rightward shift in the presidential election results was especially pronounced among Asian voters and Hispanic voters in Queens and the Bronx.","New York City has rarely been as liberal as the rest of the nation thinks it is.","A","14","The New York Times","2024-11-06T19:13:12+0000","article","Metro","New York",NA,"News","nyt://article/2fa7dd31-3b51-5615-8052-9432f58d4747",887,"nyt://article/2fa7dd31-3b51-5615-8052-9432f58d4747","New York City Is Still a Democratic Town. But Trump Made Inroads.",NA,NA,"For Trump, the Inroads Made in New York City Exceeded Expectations",NA,NA,NA,"By Dana Rubinstein and Stefanos Chen",NA
"Mr. Kennedy, an environmental lawyer who has no medical or public health degrees, has promoted anti-vaccine conspiracies for years.","https://www.nytimes.com/2024/11/06/us/politics/rfk-jr-trump-health.html","Mr. Kennedy, an environmental lawyer who has no medical or public health degrees, has promoted anti-vaccine conspiracies for years.","Robert F. Kennedy Jr., who President-elect Donald J. Trump has suggested would have a “big role” in his second administration, wasted no time laying out potential public health measures he would oversee if given the chance.",NA,NA,"The New York Times","2024-11-06T19:23:26+0000","article","Politics","U.S.","Politics","News","nyt://article/c3a974db-b0e0-5467-b9c4-9b2e868602c4",406,"nyt://article/c3a974db-b0e0-5467-b9c4-9b2e868602c4","R.F.K. Jr. Lays Out Possible Public Health Changes Under Trump",NA,NA,"",NA,NA,NA,"By Remy Tumin",NA
"The candidate largely let the billionaire run his $175 million ground game — a gamble that future candidates could look to emulate.","https://www.nytimes.com/2024/11/06/us/elections/trump-musk-america-pac.html","The candidate largely let the billionaire run his $175 million ground game — a gamble that future candidates could look to emulate.","At a raucous election-night gathering on Tuesday, Elon Musk sat two seats away from Donald J. Trump, ready to claim wide credit for his decisive presidential win.","A","14","The New York Times","2024-11-06T19:39:27+0000","article","Politics","U.S.","Elections","News","nyt://article/232a5637-385f-54cd-a253-dba4f558812c",1227,"nyt://article/232a5637-385f-54cd-a253-dba4f558812c","Trump’s Victory Is a Major Win for Elon Musk and Big-Money Politics",NA,NA,"Ex-President’s Victory Is Win for His Billionaire Cheerleader and Big-Money Politics",NA,NA,NA,"By Theodore Schleifer and Susanne Craig",NA
"Times foreign correspondents describe what’s at stake for China, Israel, Ukraine, global trade and climate.","https://www.nytimes.com/interactive/2024/11/06/world/trump-president-world.html","Times foreign correspondents describe what’s at stake for China, Israel, Ukraine, global trade and climate.","Times foreign correspondents describe what’s at stake for China, Israel, Ukraine, global trade and climate.",NA,NA,"The New York Times","2024-11-06T19:59:19+0000","multimedia","World","World",NA,"Interactive Feature","nyt://interactive/9c89d763-5676-570c-9670-b057987bc4d3",0,"nyt://interactive/9c89d763-5676-570c-9670-b057987bc4d3","What a Trump Presidency Means for the World",NA,NA,"",NA,NA,NA,"By David Pierson, Mujib Mashal, Abdi Latif Dahir, Patrick Kingsley, Natalie Kitroeff, Anton Troianovski, Somini Sengupta and Steven Erlanger",NA
"Democrats had attacked Donald J. Trump’s ties to the conservative policy blueprint for reshaping the federal government. Several of its authors served in his administration.","https://www.nytimes.com/2024/11/06/us/politics/trump-project-2025.html","Democrats had attacked Donald J. Trump’s ties to the conservative policy blueprint for reshaping the federal government. Several of its authors served in his administration.","As Donald J. Trump was closing in on the 270 electoral votes that sealed his astounding political victory in the early hours of Nov. 6, one of the first groups to salute him was the Heritage Foundation, the conservative think tank behind Project 2025, a policy playbook that Mr. Trump had feigned ignorance about during the campaign.",NA,NA,"The New York Times","2024-11-06T20:13:06+0000","article","Politics","U.S.","Politics","News","nyt://article/7553eae9-76e8-5f3e-8245-41db11b7f42d",1386,"nyt://article/7553eae9-76e8-5f3e-8245-41db11b7f42d","What Is Project 2025, and Why Did Trump Distance Himself From It During the Campaign?",NA,NA,"",NA,NA,NA,"By Neil Vigdor and Simon J. Levien",NA
"But Liz Cheney, his highest-profile Republican detractor, was not among those celebrating his win. She emphasized that Americans “must ensure that our institutions hold over these coming four years.”","https://www.nytimes.com/2024/11/06/us/politics/trump-republicans-cheney-mcconnell-romney.html","But Liz Cheney, his highest-profile Republican detractor, was not among those celebrating his win. She emphasized that Americans “must ensure that our institutions hold over these coming four years.”","Top Republicans celebrated President-elect Donald J. Trump’s victory, and even some of his critics in the party congratulated him on Wednesday, while Democrats largely remained quiet as they awaited remarks from Vice President Kamala Harris.",NA,NA,"The New York Times","2024-11-06T20:21:19+0000","article","Politics","U.S.","Politics","News","nyt://article/27b8d581-195d-5ad4-a198-538fbb503555",733,"nyt://article/27b8d581-195d-5ad4-a198-538fbb503555","Top Republicans Hail Trump’s Victory, and Even G.O.P. Critics Congratulate Him",NA,NA,"",NA,NA,NA,"By Tim Balk",NA
"Voters across party lines shifted to the right on immigration. They blamed Biden-Harris for failing to control the chaotic border.","https://www.nytimes.com/2024/11/06/us/trump-immigration-border.html","Voters across party lines shifted to the right on immigration. They blamed Biden-Harris for failing to control the chaotic border.","Emily Schaefer supports mass deportations. She wants less immigration. And she opposes a path to citizenship for undocumented people who have been living in the United States for decades.","A","17","The New York Times","2024-11-06T20:28:23+0000","article","National","U.S.",NA,"News","nyt://article/abec8925-8a0e-5237-bdf7-fb5c19d7fe41",1563,"nyt://article/abec8925-8a0e-5237-bdf7-fb5c19d7fe41","Voters Were Fed Up Over Immigration. They Voted for Trump.",NA,NA,"Broad Shift to the Right In Immigration Attitudes",NA,NA,NA,"By Miriam Jordan",NA
"The decision is in keeping with a longstanding Justice Department policy that bars prosecution of sitting presidents.","https://www.nytimes.com/2024/11/06/us/politics/doj-trump-federal-cases.html","The decision is in keeping with a longstanding Justice Department policy that bars prosecution of sitting presidents.","Jack Smith, the special counsel, has begun discussions about how to wind down the two federal cases he brought against President-elect Donald J. Trump, in keeping with a longstanding Justice Department policy that bars prosecution of sitting presidents, a person familiar with the discussions said Wednesday.",NA,NA,"The New York Times","2024-11-06T20:29:20+0000","article","Washington","U.S.","Politics","News","nyt://article/1cb62642-1bd1-5494-b00f-b0fd69d96317",234,"nyt://article/1cb62642-1bd1-5494-b00f-b0fd69d96317","Jack Smith Assesses How to Wind Down Trump’s Federal Cases, Official Says",NA,NA,"",NA,NA,NA,"By Devlin Barrett",NA
"With a decisive margin in the Senate, Republicans, who have shown their willingness to accommodate the president-elect, will have the numbers to overcome divisions over his personnel and policies.","https://www.nytimes.com/2024/11/06/us/politics/senate-republican-majority.html","With a decisive margin in the Senate, Republicans, who have shown their willingness to accommodate the president-elect, will have the numbers to overcome divisions over his personnel and policies.","Republicans’ decisive Senate takeover has transformed what was once a body full of traditionalists who viewed Donald J. Trump with skepticism and even some disdain into a compliant and loyal chamber full of allies ready to advance his agenda.","A","15","The New York Times","2024-11-06T21:03:15+0000","article","Washington","U.S.","Politics","News Analysis","nyt://article/7e404e6f-d9a6-5e2f-9579-c0e8d304c70a",1168,"nyt://article/7e404e6f-d9a6-5e2f-9579-c0e8d304c70a","An Emboldened G.O.P. Senate Majority Is Ready to Empower Trump","News Analysis",NA,"A Grateful Majority Eager to Be Accommodating",NA,NA,NA,"By Carl Hulse",NA
"Plus, what to expect from his foreign policy.","https://www.nytimes.com/2024/11/06/briefing/trump-victory-foreign-policy.html","Plus, what to expect from his foreign policy.","As Kamala Harris prepared to deliver a speech conceding defeat to Donald Trump, his supporters reveled in his resounding victory.",NA,NA,"The New York Times","2024-11-06T21:05:34+0000","article","NYTNow","Briefing",NA,"briefing","nyt://article/9cad3407-aec5-5d5e-b151-907b1e27856c",1240,"nyt://article/9cad3407-aec5-5d5e-b151-907b1e27856c","Special Edition: What a Trump Victory Means",NA,NA,"",NA,NA,NA,"By Gaya Gupta",NA
"A little-known investment banker, a former hedge fund star and an acolyte of George Soros have the president-elect’s ear.","https://www.nytimes.com/2024/11/06/business/trump-economic-advisers.html","A little-known investment banker, a former hedge fund star and an acolyte of George Soros have the president-elect’s ear.","To staff his first term as president, Donald J. Trump attracted a group of largely by-the-book aides and advisers who produced an economic record — corporate tax cuts and financial deregulation — that would have been in place in any typical Republican administration.","B","1","The New York Times","2024-11-06T21:12:57+0000","article","Business","Business Day",NA,"News","nyt://article/1c5dea8b-16e9-596b-b332-d08b9e77220e",1096,"nyt://article/1c5dea8b-16e9-596b-b332-d08b9e77220e","Trump’s Newest Economic Guides Are Not Like His Old Ones",NA,NA,"A Different Breed of Economic Advisers to Have Trump’s Ear",NA,NA,NA,"By Rob Copeland, Maureen Farrell and Lauren Hirsch",NA
"President-elect Donald J. Trump has often shown disdain toward Ukraine and its leader, President Volodymyr Zelensky.","https://www.nytimes.com/2024/11/06/us/politics/zelensky-trump-ukraine-russia.html","President-elect Donald J. Trump has often shown disdain toward Ukraine and its leader, President Volodymyr Zelensky.","President Volodymyr Zelensky of Ukraine on Wednesday urged President-elect Donald J. Trump to help strengthen Ukraine against Russian aggression.",NA,NA,"The New York Times","2024-11-06T21:19:23+0000","article","Politics","U.S.","Politics","News","nyt://article/0492139b-f755-55e9-9fdd-6a2a176f9a9c",288,"nyt://article/0492139b-f755-55e9-9fdd-6a2a176f9a9c","Zelensky Urges Trump to Help Defend Ukraine Against Russia",NA,NA,"",NA,NA,NA,"By Edward Wong",NA
"Even if only one candidate is gracious enough to do it.","https://www.nytimes.com/2024/11/06/opinion/harris-concession-democracy.html","Even if only one candidate is gracious enough to do it.","Less than 12 hours after the presidential election was called early Wednesday morning, Vice President Kamala Harris did what Donald Trump still can’t bring himself to do four years after his own loss: She conceded.",NA,NA,"The New York Times","2024-11-06T21:52:31+0000","article","OpEd","Opinion",NA,"News","nyt://article/84aa3dbb-745b-5f8b-a0a1-4c1754ac2614",544,"nyt://article/84aa3dbb-745b-5f8b-a0a1-4c1754ac2614","Harris Shows Trump How to Concede",NA,NA,"",NA,NA,NA,"By Jesse Wegman",NA
"The world’s richest man gave his money and time in campaigning for the president-elect and now is putting in his requests for a friendlier regulatory environment.","https://www.nytimes.com/2024/11/06/us/politics/elon-musk-trump-benefits.html","The world’s richest man gave his money and time in campaigning for the president-elect and now is putting in his requests for a friendlier regulatory environment.","Even before Donald J. Trump was re-elected, his best-known backer, Elon Musk, had come to him with a request for his presidential transition.","A","14","The New York Times","2024-11-06T21:56:36+0000","article","Washington","U.S.","Politics","News","nyt://article/d740c5f5-aa9d-5786-a14f-361434f44cf3",1508,"nyt://article/d740c5f5-aa9d-5786-a14f-361434f44cf3","Elon Musk Helped Elect Trump. What Does He Expect in Return?",NA,NA,"What Does Musk Want In Return for Helping Trump Win 2nd Term?",NA,NA,NA,"By Eric Lipton, Kirsten Grind, David A. Fahrenthold and Theodore Schleifer",NA
